"Outcome","Week End","Age Group","Unvaccinated Rate","Vaccinated Rate","Boosted Rate","Crude Vaccinated Ratio","Crude Boosted Ratio","Age-Adjusted Unvaccinated Rate","Age-Adjusted Vaccinated Rate","Age-Adjusted Boosted Rate","Age-Adjusted Vaccinated Ratio","Age-Adjusted Boosted Ratio","Population Unvaccinated","Population Vaccinated","Population Boosted","Outcome Unvaccinated","Outcome Vaccinated","Outcome Boosted","Age Group Min","Age Group Max"
"Hospitalizations","12/17/2022","50-64","36.9","10.4","13.0","3.5","2.8",,,,,,"35,269","125,391","246,772","13","13","32","50","64"
"Cases","10/07/2023","30-49","41.0","18.7","23.6","2.2","1.7",,,,,,"104,936","278,564","347,458","43","52","82","30","49"
"Hospitalizations","01/08/2022","50-64","355.8","76.7","32.3","4.6","11.0",,,,,,"54,811","194,317","160,841","195","149","52","50","64"
"Cases","04/23/2022","18-29","236.2","109.8","286.1","2.2","0.8",,,,,,"97,360","218,531","149,251","230","240","427","18","29"
"Cases","03/04/2023","50-64","192.4","65.3","95.6","2.9","2.0",,,,,,"33,780","125,603","246,874","65","82","236","50","64"
"Cases","02/19/2022","18-29","191.1","45.7","78.8","4.2","2.4",,,,,,"103,609","221,200","133,301","198","101","105","18","29"
"Deaths","05/01/2021","30-49","1.9","0.0",,,,,,,,,"365,119","238,588",,"7","0",,"30","49"
"Deaths","07/23/2022","All","0.5","0.7","0.4","0.7","1.3","0.7","1.6","0.3","0.4","2.5","620,290","856,799","1,004,817","3","6","4","999","999"
"Cases","06/11/2022","0-4","173.4",,,,,,,,,,"162,642",,,"282",,,"0","4"
"Cases","12/31/2022","80+","185.3","387.1","299.3","0.5","0.6",,,,,,"24,824","11,367","47,117","46","44","141","80","200"
"Cases","11/20/2021","0-4","104.5",,,,,,,,,,"162,642",,,"170",,,"0","4"
"Cases","01/01/2022","50-64","3,677.7","1,686.1","1,009.6","2.2","3.6",,,,,,"56,937","206,986","147,279","2,094","3,490","1,487","50","64"
"Deaths","04/30/2022","5-11","0.0","0.0",,,,,,,,,"102,021","93,311",,"0","0",,"5","11"
"Cases","07/30/2022","18-29","371.1","145.9","228.2","2.5","1.6",,,,,,"92,439","213,184","158,188","343","311","361","18","29"
"Deaths","12/04/2021","12-17","0.0","0.0",,,,,,,,,"58,493","105,452",,"0","0",,"12","17"
"Deaths","01/08/2022","80+","136.6","108.8","24.3","1.3","5.6",,,,,,"27,814","19,309","37,045","38","21","9","80","200"
"Cases","10/09/2021","50-64","193.6","52.8",,"3.7",,,,,,,"77,460","331,279",,"150","175",,"50","64"
"Deaths","07/16/2022","30-49","0.0","0.0","0.0",,,,,,,,"127,190","279,873","341,011","0","0","0","30","49"
"Deaths","07/02/2022","18-29","0.0","0.0","0.0",,,,,,,,"93,769","214,617","155,854","0","0","0","18","29"
